range,gpu,instances,wall_s,gpu_kernel_s
forward,0,1,8.232,8.188
forward,1,1,8.217,8.198
forward,2,1,8.219,8.206
forward,3,1,8.218,8.198
forward,4,1,8.217,8.199
forward,5,1,8.219,8.202
forward,6,1,8.218,8.201
forward,7,1,8.217,8.196
backward,0,1,18.269,18.424
backward,1,1,18.278,17.759
backward,2,1,18.269,18.414
backward,3,1,18.279,18.419
backward,4,1,18.271,18.414
backward,5,1,18.274,18.421
backward,6,1,18.27,18.038
backward,7,1,18.279,18.409
optimizer,0,1,0.0,0.0
optimizer,1,1,0.0,0.0
optimizer,2,1,0.0,0.0
optimizer,3,1,0.0,0.0
optimizer,4,1,0.0,0.0
optimizer,5,1,0.0,0.0
optimizer,6,1,0.0,0.0
optimizer,7,1,0.0,0.0
attention,0,156,3.148,3.042
attention,1,156,3.18,3.053
attention,2,156,3.175,3.069
attention,3,156,3.193,3.067
attention,4,156,3.223,3.066
attention,5,156,3.214,3.121
attention,6,156,3.192,3.193
attention,7,156,3.181,3.185
moe,0,150,11.796,8.657
moe,1,150,12.365,7.938
moe,2,150,11.692,8.626
moe,3,150,11.66,8.607
moe,4,150,11.624,8.606
moe,5,150,11.628,8.579
moe,6,150,12.085,8.089
moe,7,150,11.66,8.499
hybridep_dispatch,0,150,0.149,1.047
hybridep_dispatch,1,150,0.155,1.05
hybridep_dispatch,2,150,0.157,1.057
hybridep_dispatch,3,150,0.154,1.059
hybridep_dispatch,4,150,0.155,1.052
hybridep_dispatch,5,150,0.157,1.044
hybridep_dispatch,6,150,0.157,1.083
hybridep_dispatch,7,150,0.156,1.043
hybridep_combine,0,150,0.021,4.098
hybridep_combine,1,150,0.021,3.335
hybridep_combine,2,150,0.021,4.026
hybridep_combine,3,150,0.021,3.96
hybridep_combine,4,150,0.022,4.027
hybridep_combine,5,150,0.021,4.14
hybridep_combine,6,150,0.02,3.211
hybridep_combine,7,150,0.021,4.179
recompute,0,78,17.426,17.468
recompute,1,78,17.431,16.801
recompute,2,78,17.426,17.459
recompute,3,78,17.436,17.463
recompute,4,78,17.425,17.456
recompute,5,78,17.429,17.463
recompute,6,78,17.426,17.081
recompute,7,78,17.436,17.454
lm_head,0,1,1.006,0.956
lm_head,1,1,0.884,0.96
lm_head,2,1,0.918,0.956
lm_head,3,1,0.884,0.956
lm_head,4,1,0.89,0.956
lm_head,5,1,0.891,0.96
lm_head,6,1,0.889,0.956
lm_head,7,1,0.89,0.956
dsa_indexer,0,42,2.824,0.11
dsa_indexer,1,42,2.797,0.112
dsa_indexer,2,42,2.787,0.11
dsa_indexer,3,42,2.79,0.111
dsa_indexer,4,42,2.79,0.111
dsa_indexer,5,42,2.785,0.11
dsa_indexer,6,42,2.804,0.111
dsa_indexer,7,42,2.781,0.11
dsa_core,0,156,0.053,1.487
dsa_core,1,156,0.061,1.529
dsa_core,2,156,0.06,1.526
dsa_core,3,156,0.061,1.531
dsa_core,4,156,0.062,1.53
dsa_core,5,156,0.061,1.527
dsa_core,6,156,0.059,1.539
dsa_core,7,156,0.063,1.529
