range,gpu,instances,wall_s,gpu_kernel_s
forward,0,1,7.014,6.99
forward,1,1,7.001,6.949
forward,2,1,6.997,6.954
forward,3,1,6.959,6.836
forward,4,1,7.0,6.957
forward,5,1,7.001,6.943
forward,6,1,6.987,6.931
forward,7,1,6.993,6.952
backward,0,1,16.226,15.999
backward,1,1,16.227,16.242
backward,2,1,16.226,16.375
backward,3,1,16.226,15.931
backward,4,1,16.226,16.286
backward,5,1,16.226,16.343
backward,6,1,16.225,16.322
backward,7,1,16.226,16.366
optimizer,0,1,0.0,0.0
optimizer,1,1,0.0,0.0
optimizer,2,1,0.0,0.0
optimizer,3,1,0.0,0.0
optimizer,4,1,0.0,0.0
optimizer,5,1,0.0,0.0
optimizer,6,1,0.0,0.0
optimizer,7,1,0.0,0.0
attention,0,156,3.216,3.237
attention,1,156,3.232,3.24
attention,2,156,3.217,3.235
attention,3,156,3.164,3.22
attention,4,156,3.29,3.238
attention,5,156,3.28,3.282
attention,6,156,3.206,3.376
attention,7,156,3.222,3.363
moe,0,150,12.239,6.728
moe,1,150,11.844,6.903
moe,2,150,11.799,7.057
moe,3,150,11.93,6.684
moe,4,150,11.731,7.004
moe,5,150,11.801,6.974
moe,6,150,11.837,6.852
moe,7,150,11.824,6.935
hybridep_dispatch,0,150,0.514,1.413
hybridep_dispatch,1,150,0.272,1.648
hybridep_dispatch,2,150,0.264,1.649
hybridep_dispatch,3,150,0.439,1.314
hybridep_dispatch,4,150,0.274,1.637
hybridep_dispatch,5,150,0.28,1.609
hybridep_dispatch,6,150,0.318,1.628
hybridep_dispatch,7,150,0.275,1.635
hybridep_combine,0,150,0.021,2.413
hybridep_combine,1,150,0.022,2.373
hybridep_combine,2,150,0.022,2.446
hybridep_combine,3,150,0.021,2.495
hybridep_combine,4,150,0.022,2.534
hybridep_combine,5,150,0.021,2.598
hybridep_combine,6,150,0.023,2.277
hybridep_combine,7,150,0.021,2.637
recompute,0,78,16.109,15.873
recompute,1,78,16.11,16.116
recompute,2,78,16.11,16.252
recompute,3,78,16.112,15.807
recompute,4,78,16.111,16.162
recompute,5,78,16.111,16.218
recompute,6,78,16.108,16.199
recompute,7,78,16.112,16.242
lm_head,0,1,0.109,0.071
lm_head,1,1,0.044,0.073
lm_head,2,1,0.045,0.07
lm_head,3,1,0.046,0.07
lm_head,4,1,0.046,0.07
lm_head,5,1,0.046,0.07
lm_head,6,1,0.044,0.07
lm_head,7,1,0.045,0.07
dsa_indexer,0,42,2.871,0.112
dsa_indexer,1,42,2.794,0.114
dsa_indexer,2,42,2.771,0.111
dsa_indexer,3,42,2.698,0.113
dsa_indexer,4,42,2.842,0.113
dsa_indexer,5,42,2.783,0.111
dsa_indexer,6,42,2.761,0.111
dsa_indexer,7,42,2.805,0.111
dsa_core,0,156,0.053,1.508
dsa_core,1,156,0.062,1.547
dsa_core,2,156,0.063,1.535
dsa_core,3,156,0.059,1.544
dsa_core,4,156,0.061,1.545
dsa_core,5,156,0.061,1.54
dsa_core,6,156,0.062,1.556
dsa_core,7,156,0.06,1.539
